MCC,ZIPCode,Currency,CardType,Device,Flag
7678,20,3,3,2,Fraud
2115,124,1,3,1,Normal
8512,289,1,3,2,Fraud
2608,234,2,3,3,Normal
9259,71,2,1,1,Fraud
5252,115,3,1,1,Fraud
4542,11,3,3,1,Normal
9422,293,1,3,2,Fraud
3266,78,2,1,1,Fraud
6712,125,3,1,1,Fraud
9647,57,2,3,3,Normal
3774,243,1,2,3,Normal
6791,302,2,1,3,Fraud
9005,273,2,1,3,Fraud
6815,103,1,3,1,Normal
5210,285,3,3,1,Normal
9203,84,3,3,3,Normal
4288,113,3,1,1,Fraud
8829,191,2,2,2,Fraud
1792,95,3,2,2,Normal
3564,87,2,2,3,Fraud
9167,206,1,3,2,Fraud
7684,239,3,1,2,Normal
2659,1,2,3,2,Fraud
3568,265,2,1,1,Fraud
7554,33,1,2,3,Fraud
2299,12,2,2,3,Normal
4497,195,1,1,1,Fraud
4049,128,1,1,1,Normal
2077,150,1,1,3,Normal
9791,5,3,3,3,Normal
5031,308,2,2,1,Normal
5898,120,1,3,3,Normal
9872,315,1,3,2,Fraud
9339,36,2,1,2,Fraud
6662,149,1,2,2,Normal
7395,291,3,1,2,Fraud
1210,30,3,2,3,Fraud
4565,183,1,2,2,Normal
1601,162,3,3,3,Fraud
9553,237,3,3,3,Normal
2721,65,3,3,2,Fraud
9889,166,2,1,3,Normal
4883,243,2,2,2,Normal
9097,26,3,3,2,Normal
6136,45,1,2,2,Normal
3194,4,2,2,3,Fraud
6470,54,2,2,2,Normal
5250,263,2,1,2,Fraud
6683,45,2,1,1,Fraud
7994,37,2,3,3,Normal
6401,266,2,2,3,Normal
5162,232,1,1,3,Normal
4723,211,2,3,2,Normal
6683,233,1,3,3,Normal
1809,115,3,3,3,Fraud
2567,228,2,1,1,Normal
2504,205,1,2,3,Normal
5658,103,1,1,2,Normal
5992,303,2,1,2,Fraud
6900,19,3,1,3,Normal
4405,201,3,3,3,Fraud
9993,214,1,3,3,Fraud
9570,5,3,3,1,Fraud
7930,112,1,1,2,Normal
5852,287,2,2,2,Normal
3201,204,2,1,2,Normal
3238,29,3,3,3,Normal
1893,114,1,3,2,Fraud
5325,214,2,1,2,Fraud
4548,294,1,3,3,Fraud
6219,291,1,3,1,Normal
6386,140,2,2,3,Normal
3577,111,1,2,3,Fraud
4426,8,2,2,1,Normal
4322,4,3,3,1,Fraud
3367,136,2,2,1,Normal
5808,164,2,2,3,Normal
4600,233,2,1,2,Fraud
7973,37,2,1,3,Normal
8418,195,3,1,1,Fraud
6820,287,2,3,1,Normal
9993,176,3,2,2,Normal
3241,33,1,3,1,Normal
9290,281,1,2,1,Fraud
9260,94,1,2,2,Normal
9772,13,2,1,2,Fraud
8093,263,1,2,3,Normal
1075,24,1,1,3,Normal
3198,231,1,1,1,Normal
3771,285,1,2,3,Normal
4997,222,2,1,3,Normal
7107,67,3,1,1,Normal
8299,106,2,2,2,Fraud
8469,231,3,1,1,Normal
1232,84,3,3,1,Fraud
9751,45,1,3,2,Fraud
8581,35,3,2,3,Normal
5303,54,2,2,3,Fraud
4302,207,2,1,1,Fraud
4970,55,2,1,3,Normal
6807,166,3,3,3,Normal
1405,51,3,3,3,Normal
5766,21,2,3,3,Fraud
2873,262,3,1,2,Fraud
5360,24,3,1,2,Fraud
1696,293,2,2,1,Normal
6898,145,2,1,2,Fraud
1205,117,3,2,2,Normal
1612,64,2,2,2,Fraud
9278,100,3,1,1,Fraud
3091,105,3,1,1,Fraud
8037,149,1,3,2,Fraud
9895,176,2,2,3,Fraud
9066,204,2,1,2,Fraud
7962,2,1,3,2,Fraud
2296,83,2,1,1,Fraud
7510,270,2,3,1,Normal
1109,159,3,3,1,Normal
7135,35,3,1,1,Normal
8576,100,1,2,3,Normal
1633,3,3,2,2,Fraud
2285,170,2,2,2,Fraud
8268,220,2,2,2,Normal
9430,103,3,3,3,Fraud
5796,283,3,2,1,Fraud
1894,232,1,2,1,Normal
4787,124,1,2,3,Normal
6822,156,2,1,1,Fraud
8579,248,1,2,2,Fraud
9903,218,3,2,1,Normal
1285,201,2,1,1,Normal
4927,194,2,2,1,Normal
5807,55,2,3,2,Fraud
6816,93,2,2,3,Fraud
5488,203,2,3,1,Normal
5846,101,3,3,1,Fraud
8434,98,1,2,3,Normal
6884,101,2,1,3,Fraud
7678,222,3,1,2,Fraud
9165,8,1,3,3,Normal
4054,31,2,1,3,Fraud
1631,311,3,3,2,Fraud
5882,278,3,2,2,Normal
7543,73,3,2,1,Fraud
7445,114,3,3,3,Fraud
4857,142,1,3,3,Fraud
3679,9,1,2,3,Normal
8520,62,1,3,2,Normal
6429,47,3,1,2,Fraud
1802,150,1,1,1,Normal
6747,20,3,1,2,Normal
8069,274,2,2,2,Normal
5745,22,3,3,1,Fraud
6489,300,3,3,1,Normal
3677,41,3,1,2,Normal
3166,12,1,1,3,Normal
3601,39,3,2,3,Normal
6431,268,3,2,1,Normal
1221,101,2,2,3,Fraud
1731,62,2,3,1,Fraud
8441,194,3,1,2,Fraud
6968,160,1,3,3,Normal
4327,78,2,3,3,Fraud
3490,192,1,2,2,Fraud
6690,58,3,2,3,Normal
9926,162,2,2,1,Fraud
6606,241,3,2,2,Normal
2632,211,3,1,2,Normal
9557,74,3,1,2,Normal
7001,104,1,1,3,Fraud
4687,9,3,2,3,Normal
6567,74,3,3,3,Fraud
2410,183,1,3,3,Fraud
9687,191,3,1,2,Normal
7188,205,3,2,2,Normal
1644,240,1,1,2,Fraud
3154,141,1,1,2,Fraud
8211,128,2,2,1,Normal
4725,289,1,2,1,Fraud
3029,55,2,3,2,Fraud
6771,204,3,2,1,Fraud
8989,291,3,2,3,Fraud
4022,124,1,3,1,Normal
8432,101,1,1,3,Fraud
9726,121,3,3,1,Normal
4101,68,1,2,1,Fraud
7327,101,2,3,2,Normal
4381,280,2,2,3,Fraud
8207,75,3,2,2,Fraud
5377,299,3,2,1,Fraud
6490,9,1,1,1,Fraud
6544,314,2,2,1,Fraud
7806,235,1,3,1,Normal
6249,202,1,3,2,Normal
4805,156,1,2,1,Normal
7761,122,3,3,3,Fraud
7082,219,2,1,3,Normal
6701,57,3,1,3,Normal
2698,267,3,1,2,Normal
7925,21,2,2,3,Normal
5746,82,3,1,3,Normal
4281,261,2,3,3,Normal
7621,123,3,1,3,Normal
1332,241,1,1,1,Fraud
6126,179,3,3,3,Fraud
1437,72,1,3,1,Fraud
6818,305,2,3,2,Fraud
9344,41,2,1,1,Fraud
2404,312,1,3,2,Normal
5654,201,1,2,2,Fraud
3775,7,2,3,2,Fraud
8629,140,3,2,3,Normal
5390,166,1,3,2,Normal
8061,7,2,1,1,Normal
5281,32,1,3,1,Fraud
3361,217,1,1,3,Fraud
7579,305,3,2,1,Fraud
5120,130,1,2,1,Normal
8834,315,3,3,1,Fraud
1910,2,3,2,3,Fraud
6798,120,3,1,3,Fraud
9761,28,3,1,3,Normal
3002,89,1,3,2,Normal
4872,290,1,2,1,Fraud
6015,65,2,2,1,Fraud
1363,140,3,3,2,Fraud
3678,53,3,3,2,Fraud
1995,33,3,2,3,Normal
3623,259,2,1,3,Fraud
9132,56,2,1,3,Fraud
9652,209,3,3,1,Normal
2986,227,1,1,1,Normal
8904,95,1,2,3,Fraud
8909,60,3,2,1,Fraud
9791,129,3,2,2,Normal
3916,63,2,2,1,Fraud
6525,145,2,3,2,Fraud
7874,310,3,1,1,Fraud
3029,212,1,3,2,Normal
7529,31,3,2,3,Normal
1483,58,3,1,2,Fraud
3681,85,2,3,3,Fraud
6743,171,3,1,2,Normal
6526,196,2,2,3,Fraud
6640,191,3,3,2,Normal
5015,58,1,2,1,Fraud
8551,301,2,1,1,Normal
3952,215,3,2,2,Normal
9882,67,1,1,1,Fraud
6620,219,2,1,3,Normal
2759,41,3,2,2,Fraud
4128,245,2,1,3,Fraud
6790,101,3,3,1,Fraud
5111,267,3,2,1,Normal
6726,229,1,3,2,Fraud
1338,152,1,2,3,Fraud
2190,110,2,1,3,Normal
4856,244,2,3,2,Normal
9774,98,3,1,3,Fraud
3166,217,1,1,2,Normal
1137,168,1,2,1,Normal
6096,180,2,3,3,Normal
6232,76,3,1,2,Fraud
9761,50,2,1,2,Normal
6611,47,3,2,1,Fraud
5861,32,1,3,3,Fraud
8802,206,3,3,3,Normal
3077,176,1,2,1,Normal
8826,125,2,3,1,Fraud
9175,107,2,1,1,Fraud
6418,305,3,2,3,Fraud
5891,86,2,3,2,Normal
9429,254,1,2,3,Fraud
7143,262,1,3,1,Fraud
9843,313,2,1,2,Fraud
4155,189,1,2,2,Normal
8819,104,2,1,3,Fraud
2922,113,1,1,3,Fraud
4161,308,2,2,3,Normal
1576,196,1,2,3,Normal
8746,266,1,1,1,Normal
2514,174,1,2,2,Fraud
7897,115,1,1,1,Fraud
1123,192,1,3,3,Fraud
2270,28,1,2,2,Normal
3578,272,2,3,1,Fraud
3703,113,1,1,3,Normal
2315,152,2,3,1,Fraud
3382,119,2,1,2,Fraud
1070,199,3,3,3,Normal
8948,97,2,3,2,Normal
9040,82,1,1,3,Fraud
7149,293,3,3,2,Normal
3392,109,1,2,1,Fraud
4680,20,3,2,3,Normal
3972,314,3,1,1,Normal
3956,124,2,3,2,Fraud
3231,14,2,1,1,Fraud
2766,62,3,2,2,Fraud
7471,296,1,1,3,Normal
2884,208,2,2,2,Fraud
6076,117,2,2,3,Normal
7486,63,1,2,1,Fraud
3108,192,3,1,3,Normal
9564,7,3,1,3,Fraud
7197,190,1,1,2,Normal
4526,104,2,2,1,Fraud
9061,121,1,3,3,Normal
1490,60,2,2,3,Normal
1781,171,1,2,2,Fraud
6740,306,3,1,3,Normal
5771,21,3,2,3,Fraud
6356,204,3,2,1,Fraud
4694,194,1,2,1,Fraud
2320,292,1,2,3,Normal
8079,113,2,2,2,Fraud
7660,151,1,1,2,Normal
1288,88,2,2,2,Normal
6696,196,3,2,2,Fraud
3249,212,3,3,2,Fraud
4487,292,2,3,3,Normal
2800,34,3,1,3,Fraud
9808,114,2,3,2,Normal
9436,54,3,1,3,Normal
9864,73,2,2,2,Normal
1935,70,2,1,1,Normal
5868,166,1,1,3,Fraud
5376,14,1,3,2,Fraud
3744,220,2,1,1,Normal
9830,207,1,2,2,Normal
2176,279,1,2,2,Normal
5441,206,2,3,1,Normal
5462,78,2,1,2,Normal
9915,280,1,2,2,Normal
3587,151,2,2,1,Fraud
5763,228,3,3,1,Fraud
4550,191,3,3,1,Fraud
2321,123,3,1,2,Fraud
9652,64,2,1,2,Normal
7047,164,3,2,2,Fraud
8122,15,3,1,2,Fraud
9246,165,2,2,2,Normal
4767,311,2,3,1,Fraud
5119,258,1,3,3,Fraud
5387,291,1,2,3,Fraud
2163,255,2,1,1,Normal
9091,248,1,3,1,Normal
8102,203,1,2,1,Fraud
8934,29,3,3,1,Normal
2096,301,2,2,2,Normal
4730,138,3,2,3,Normal
1928,115,2,2,3,Fraud
3596,137,2,1,1,Normal
5187,111,1,3,2,Fraud
1105,205,2,2,3,Fraud
7585,182,3,2,1,Normal
4253,90,2,2,1,Fraud
4128,179,1,1,3,Fraud
6915,209,1,3,3,Normal
6308,40,2,1,3,Fraud
8388,283,2,2,3,Normal
3732,232,2,2,1,Normal
3376,72,2,3,2,Normal
5955,201,1,2,1,Normal
7933,278,2,2,1,Normal
7659,107,1,1,3,Normal
5937,202,3,1,2,Normal
3799,58,3,3,3,Normal
5635,137,2,1,3,Fraud
2180,110,1,1,3,Fraud
5039,188,3,3,2,Normal
1511,6,2,3,1,Fraud
5621,304,3,3,3,Fraud
3114,62,2,3,3,Normal
2079,17,1,2,2,Normal
8506,269,2,1,2,Normal
4000,221,3,3,2,Fraud
5412,265,2,2,2,Normal
1674,14,3,2,1,Fraud
9142,315,3,2,1,Fraud
5555,152,1,3,1,Normal
7933,67,1,3,2,Fraud
6460,171,2,1,3,Fraud
3012,106,2,1,2,Fraud
1871,296,3,1,1,Fraud
7280,95,3,1,1,Fraud
1804,107,2,2,1,Normal
1985,294,3,1,1,Normal
9425,22,1,3,2,Fraud
4726,78,1,2,3,Normal
4687,280,3,1,3,Fraud
5552,307,3,2,2,Fraud
5364,184,1,2,1,Fraud
8020,8,2,2,3,Normal
8065,87,1,1,1,Normal
2474,187,1,1,2,Normal
5326,68,1,1,3,Fraud
2850,43,2,2,1,Fraud
8030,252,1,3,1,Fraud
3142,280,3,3,2,Fraud
3837,101,1,1,3,Fraud
3884,263,1,3,3,Fraud
3338,306,3,1,2,Normal
1244,29,3,2,3,Normal
1176,52,2,1,1,Normal
5181,245,2,3,3,Fraud
6709,70,1,2,1,Fraud
7823,221,1,3,1,Fraud
2188,29,3,1,2,Fraud
2214,258,2,1,3,Normal
4597,249,1,2,3,Fraud
1775,81,1,2,1,Fraud
6320,157,1,2,1,Normal
1500,315,2,3,2,Fraud
3793,262,2,2,3,Fraud
9296,265,2,3,2,Fraud
2649,303,3,1,3,Fraud
1471,266,2,1,2,Fraud
3010,63,2,2,1,Fraud
1315,272,2,3,3,Fraud
2423,4,3,2,2,Fraud
1579,55,3,3,1,Normal
2604,238,2,2,2,Fraud
7411,55,3,3,3,Fraud
4894,257,3,1,2,Normal
6368,88,2,1,3,Fraud
5695,152,3,1,3,Fraud
6590,135,2,1,1,Fraud
7254,60,3,3,1,Fraud
9715,74,2,2,3,Normal
5454,215,2,1,3,Normal
3343,23,1,1,3,Fraud
5334,177,2,2,1,Fraud
5306,50,1,1,2,Normal
1944,101,3,2,3,Normal
5371,235,1,3,2,Fraud
6473,117,2,3,3,Fraud
3251,106,3,1,1,Normal
7021,218,1,1,1,Normal
5692,31,1,2,1,Fraud
7219,191,1,3,3,Fraud
5024,291,1,3,3,Normal
1463,244,2,3,1,Fraud
5123,145,1,1,2,Fraud
8442,288,3,2,2,Normal
8482,101,3,1,1,Normal
6086,279,3,1,3,Fraud
1867,261,1,3,3,Fraud
3791,164,3,1,3,Fraud
2051,180,2,3,3,Normal
5786,196,2,2,3,Normal
5283,139,1,3,1,Normal
4807,305,1,2,2,Normal
5417,142,1,3,3,Fraud
2835,4,3,3,3,Normal
5294,302,2,2,2,Normal
7280,29,2,3,3,Fraud
4067,179,1,1,3,Normal
6580,161,1,1,3,Normal
4346,56,1,1,1,Fraud
9084,273,2,3,3,Fraud
6648,221,3,3,2,Normal
5574,227,2,2,1,Fraud
9511,225,1,3,3,Fraud
5128,277,1,2,2,Normal
5671,151,1,3,2,Fraud
8079,171,1,2,2,Normal
7056,166,3,2,1,Fraud
9623,27,3,2,3,Fraud
1412,228,1,3,1,Fraud
6277,48,3,2,3,Normal
7222,66,3,1,2,Fraud
2964,260,3,2,1,Fraud
4694,226,2,1,3,Fraud
1198,205,2,1,3,Normal
1154,259,2,2,3,Fraud
3403,122,3,3,2,Fraud
8047,299,1,1,1,Normal
1352,212,2,1,1,Fraud
5106,58,1,2,1,Normal
4713,94,3,2,1,Fraud
7987,293,2,2,2,Fraud
3399,163,1,1,3,Fraud
8391,15,1,1,1,Normal
3382,25,2,1,3,Normal
5417,242,2,1,3,Normal
9485,74,2,3,1,Fraud
2031,275,3,3,1,Fraud
2114,156,2,1,2,Fraud
7746,232,2,3,1,Fraud
4559,94,2,3,3,Normal
9597,296,2,3,1,Fraud
6013,251,1,2,1,Normal
3331,240,2,2,1,Fraud
8006,314,2,2,3,Normal
5905,36,3,3,3,Fraud
3258,265,2,3,2,Fraud
1277,134,1,2,2,Normal
3917,107,2,3,1,Fraud
2411,79,3,2,2,Fraud
7191,161,2,3,1,Normal
9427,94,1,3,2,Fraud
7846,262,2,2,2,Fraud
3406,202,3,3,1,Fraud
5578,313,3,2,3,Normal
2384,122,2,2,3,Normal
3608,36,1,2,3,Normal
2323,161,3,1,1,Normal
9703,47,2,2,2,Fraud
3035,144,2,1,3,Fraud
4084,114,1,3,2,Normal
7586,154,3,3,1,Fraud
5975,298,2,2,3,Normal
9670,95,2,1,3,Normal
7062,133,2,1,3,Normal
5454,15,3,1,2,Fraud
4876,153,2,1,2,Fraud
9225,60,2,3,1,Fraud
7350,246,2,2,1,Fraud
2898,6,2,1,2,Normal
1391,256,2,3,3,Normal
2916,311,1,1,3,Normal
9502,234,1,3,3,Fraud
8101,242,3,3,2,Fraud
4397,313,1,2,3,Normal
2132,181,1,3,3,Fraud
7976,229,1,3,2,Normal
3539,300,3,2,1,Fraud
7989,75,1,2,3,Fraud
5427,303,1,3,2,Normal
8715,202,3,1,2,Normal
3055,274,1,1,2,Fraud
5721,315,3,1,2,Fraud
2696,7,3,3,3,Normal
8832,181,2,3,2,Normal
3698,163,3,2,2,Fraud
2241,215,1,2,1,Fraud
1350,316,2,3,3,Fraud
1472,22,1,1,1,Normal
3893,131,2,2,3,Fraud
2823,11,2,3,2,Fraud
7613,141,3,1,2,Fraud
9769,113,3,3,3,Fraud
7565,167,2,3,2,Normal
3870,105,2,2,3,Fraud
3673,172,1,2,1,Normal
2152,197,1,3,2,Normal
4271,306,3,2,1,Normal
4716,33,3,1,3,Fraud
6579,127,3,3,2,Fraud
1126,170,2,1,1,Normal
4427,135,1,1,3,Normal
9646,4,2,1,2,Normal
8048,245,3,1,3,Normal
6611,164,1,2,3,Normal
8840,153,2,3,1,Fraud
7511,80,1,2,2,Normal
3226,112,1,3,2,Fraud
4640,87,2,1,2,Fraud
1390,6,2,1,1,Normal
9963,73,2,2,1,Normal
4248,113,2,3,3,Fraud
8962,9,2,2,1,Normal
3307,117,3,1,1,Fraud
2438,130,1,3,1,Fraud
3897,67,2,2,1,Normal
9932,58,1,3,2,Normal
2633,307,2,1,2,Normal
5774,242,1,3,3,Normal
7722,213,3,2,1,Normal
6328,66,2,3,3,Normal
7112,145,1,3,3,Normal
1800,192,3,1,1,Fraud
9581,290,1,3,1,Fraud
9772,304,1,3,2,Normal
3670,239,2,1,2,Fraud
3835,60,2,2,1,Normal
8052,52,1,2,3,Normal
7634,72,3,3,1,Fraud
9114,183,2,2,3,Fraud
9318,167,3,2,1,Normal
4664,61,2,3,1,Normal
9562,12,3,3,3,Normal
8264,235,1,1,3,Fraud
2040,128,3,1,2,Normal
2289,238,1,2,1,Fraud
2461,8,1,2,2,Normal
4172,266,2,2,3,Fraud
8480,71,2,1,3,Fraud
8925,305,1,2,1,Fraud
3950,252,1,3,2,Fraud
8008,238,2,3,3,Fraud
9549,39,3,3,2,Normal
5273,234,2,2,2,Normal
6829,130,1,1,1,Normal
6184,297,1,1,1,Normal
8119,183,3,2,1,Fraud
1656,8,3,3,1,Normal
7025,83,1,3,2,Fraud
7236,22,1,1,3,Fraud
1748,59,3,3,2,Fraud
9047,191,1,1,3,Fraud
3675,278,1,1,1,Normal
2464,80,3,1,1,Normal
1012,132,2,1,3,Normal
4662,32,1,3,3,Fraud
2710,31,3,1,1,Normal
4590,205,1,3,2,Fraud
3639,70,1,1,2,Fraud
5418,213,2,3,2,Fraud
6992,116,2,2,3,Normal
6243,109,3,2,3,Fraud
6710,78,3,3,2,Fraud
2006,254,3,3,1,Normal
4375,47,3,3,1,Fraud
4348,100,3,2,2,Normal
2920,3,2,2,1,Normal
4249,154,2,1,1,Fraud
8983,194,3,3,1,Normal
2051,134,3,3,1,Fraud
9036,225,3,2,3,Normal
8748,87,1,3,1,Normal
3925,174,1,3,2,Normal
4354,291,2,3,1,Normal
5309,244,1,1,3,Fraud
2566,129,2,2,2,Fraud
7815,151,1,2,1,Normal
8769,259,2,1,2,Normal
2510,75,1,3,1,Fraud
6545,286,3,2,1,Normal
1839,121,3,1,2,Fraud
7885,74,1,3,3,Fraud
8240,19,1,2,2,Normal
2535,219,1,1,2,Normal
3943,183,2,2,2,Fraud
2941,97,3,1,2,Fraud
6654,308,3,2,1,Normal
6076,162,1,2,1,Fraud
9702,45,2,3,1,Normal
7623,248,3,2,3,Normal
5290,135,3,1,3,Normal
3137,85,3,1,3,Normal
5554,149,3,1,2,Fraud
1858,52,1,1,3,Normal
8551,269,2,2,2,Normal
7594,148,2,3,3,Fraud
8510,14,2,1,3,Normal
5853,293,3,3,1,Normal
2945,243,2,3,1,Normal
6912,182,3,3,2,Normal
1213,181,1,1,3,Fraud
4235,99,3,1,3,Fraud
8070,49,3,3,1,Fraud
7219,197,3,2,2,Normal
7103,44,3,2,2,Fraud
3989,298,2,1,1,Fraud
2755,208,1,1,1,Fraud
2923,295,1,1,2,Normal
8515,125,1,1,3,Fraud
8476,74,3,3,2,Fraud
5931,130,3,1,2,Normal
9539,74,2,2,2,Normal
5484,279,1,3,3,Fraud
7407,161,2,2,1,Fraud
6401,277,2,1,1,Fraud
6843,86,1,2,3,Normal
2789,35,2,3,1,Normal
6191,221,1,3,2,Normal
8762,303,2,2,2,Normal
3755,144,3,3,1,Normal
9752,19,3,3,3,Fraud
2031,41,1,3,1,Normal
6278,285,2,2,1,Normal
2657,241,1,3,1,Normal
1684,236,3,1,2,Fraud
2416,247,2,1,1,Normal
3991,245,2,1,2,Normal
5999,211,3,2,2,Fraud
5980,202,1,2,2,Fraud
4205,80,1,3,2,Fraud
7463,86,1,3,1,Fraud
9133,247,3,1,3,Fraud
1857,216,3,2,2,Normal
5119,272,2,3,2,Normal
4338,246,2,1,1,Normal
3342,213,1,3,2,Fraud
1594,97,3,2,2,Normal
5166,92,3,1,2,Fraud
2887,73,2,1,1,Normal
5468,141,2,3,3,Normal
9022,19,2,1,3,Normal
5245,134,3,1,2,Fraud
9398,28,2,1,1,Normal
5264,35,2,1,3,Fraud
9723,8,2,3,1,Fraud
9260,123,3,2,3,Normal
1894,96,2,1,2,Fraud
1884,181,3,1,3,Normal
3296,69,1,2,2,Normal
1082,280,2,1,1,Normal
6277,4,3,1,1,Fraud
3127,220,1,3,2,Fraud
8907,107,1,1,1,Normal
7974,147,1,3,1,Fraud
9484,90,3,2,3,Normal
5126,25,1,3,2,Fraud
7251,304,3,3,3,Normal
5746,58,1,2,3,Normal
5809,296,1,2,1,Fraud
4859,16,1,3,3,Fraud
3914,262,3,2,2,Normal
4324,168,3,1,1,Normal
5500,287,3,2,2,Normal
2579,99,1,1,1,Normal
9289,189,3,3,1,Normal
8676,5,2,2,3,Normal
9851,70,2,2,2,Fraud
3864,254,1,3,3,Fraud
4560,71,1,3,1,Normal
2172,114,3,1,2,Normal
9564,250,2,1,2,Fraud
6841,155,1,1,2,Fraud
8576,86,2,2,2,Fraud
9175,115,2,3,3,Normal
6028,250,2,3,3,Fraud
6035,47,2,3,3,Fraud
7135,245,1,1,3,Normal
4890,313,1,1,2,Fraud
6759,122,1,1,2,Normal
1359,280,2,2,1,Normal
3267,16,1,1,1,Fraud
7313,118,3,1,1,Fraud
1195,34,3,3,1,Fraud
4082,193,3,2,2,Normal
9266,33,3,1,2,Normal
3942,103,1,1,1,Fraud
3757,205,2,2,3,Normal
7122,65,2,1,2,Normal
7887,8,3,1,3,Normal
8755,122,2,1,1,Normal
6935,142,3,1,3,Normal
4638,186,1,2,1,Fraud
4311,163,3,3,2,Normal
5440,31,2,3,3,Fraud
3039,278,3,3,2,Fraud
7011,288,1,1,3,Fraud
3095,183,1,2,2,Fraud
1826,233,1,3,1,Fraud
6764,29,3,3,3,Fraud
8082,142,1,3,2,Fraud
6642,25,3,2,2,Fraud
1065,81,3,1,3,Fraud
1250,33,1,1,2,Fraud
8866,110,1,2,2,Fraud
9121,145,2,3,1,Normal
4694,118,1,1,1,Normal
6728,127,2,1,1,Fraud
8415,12,3,3,3,Fraud
5656,160,3,2,1,Normal
6314,166,3,1,2,Normal
8464,162,1,1,2,Normal
2722,61,1,2,3,Normal
1247,231,1,2,2,Fraud
1114,311,1,3,3,Fraud
5090,308,2,1,3,Normal
4613,265,1,3,2,Fraud
4987,37,3,1,3,Fraud
5475,91,3,3,1,Fraud
7339,134,2,2,1,Fraud
1754,250,2,2,1,Fraud
2599,121,2,3,1,Fraud
6903,130,2,1,3,Normal
5955,191,1,1,1,Fraud
6488,228,3,3,2,Fraud
1127,129,3,3,3,Normal
7929,139,1,3,2,Normal
8096,142,2,3,3,Fraud
2573,115,3,1,1,Fraud
7664,238,2,3,1,Fraud
3390,305,3,3,3,Fraud
2953,202,2,2,2,Normal
1788,99,1,2,1,Fraud
7204,60,1,1,1,Fraud
8188,117,1,3,2,Normal
3490,315,1,1,2,Normal
8820,95,2,2,1,Normal
2489,77,2,3,2,Normal
8502,164,2,3,3,Normal
8946,59,1,3,1,Normal
6335,34,1,3,1,Normal
9225,38,1,1,1,Fraud
5495,210,1,3,1,Fraud
5278,246,2,2,1,Fraud
3959,316,1,1,3,Fraud
4157,98,1,2,1,Normal
5745,262,2,1,2,Normal
7639,265,3,3,3,Normal
7685,267,1,1,2,Normal
1655,44,3,2,2,Normal
6793,249,2,2,3,Fraud
1524,124,1,2,3,Fraud
8842,199,3,3,1,Fraud
2567,143,2,2,3,Fraud
8019,199,2,2,3,Normal
8543,106,2,3,1,Fraud
2405,292,3,2,3,Normal
9012,199,3,2,1,Fraud
2101,189,3,3,3,Fraud
6703,96,2,1,3,Fraud
6869,179,2,3,3,Normal
1958,286,1,2,1,Fraud
8432,212,1,3,2,Fraud
2095,260,3,2,3,Normal
9704,227,1,3,1,Normal
1737,28,2,3,3,Normal
1322,312,3,3,1,Normal
9696,90,3,2,2,Normal
5203,200,3,1,2,Fraud
9166,174,2,3,2,Fraud
1106,7,1,1,3,Fraud
5667,256,1,1,2,Normal
5650,159,3,3,2,Fraud
8073,2,3,2,3,Normal
1900,272,2,3,1,Normal
5725,82,3,3,3,Normal
7894,150,2,2,3,Fraud
2464,248,3,1,1,Fraud
6460,184,3,2,2,Normal
6157,8,2,1,1,Normal
8761,44,2,2,1,Fraud
4154,217,2,2,2,Normal
8608,312,1,3,2,Fraud
3657,183,3,1,3,Normal
3271,22,2,2,3,Normal
6742,189,2,3,3,Normal
9397,74,3,2,3,Normal
7290,117,1,3,2,Normal
6310,143,2,2,3,Normal
6110,97,1,2,1,Normal
8970,170,3,2,3,Fraud
2472,164,3,2,2,Normal
6982,216,1,1,3,Normal
5700,101,1,3,3,Normal
3709,188,2,1,1,Normal
8396,134,2,1,3,Normal
9118,238,3,2,3,Fraud
9872,253,3,1,1,Normal
8256,72,1,2,3,Normal
7654,215,3,2,1,Normal
3370,304,2,1,1,Normal
5079,178,1,1,2,Normal
9891,189,2,1,3,Normal
6940,310,1,1,1,Fraud
3461,156,2,1,2,Normal
3152,149,2,2,3,Normal
8556,38,1,1,1,Fraud
9642,261,1,1,2,Normal
8002,71,1,1,1,Fraud
5267,28,3,3,1,Fraud
7210,43,1,1,3,Normal
5112,259,1,3,2,Normal
2506,15,3,3,3,Normal
8359,62,3,2,2,Fraud
1722,41,2,1,2,Fraud
7557,188,3,2,2,Fraud
4866,153,2,1,3,Normal
2822,20,2,1,2,Normal
1336,21,2,3,3,Normal
2925,257,2,2,3,Fraud
8206,118,3,1,3,Fraud
8432,312,2,3,2,Fraud
7489,222,2,1,1,Fraud
2044,196,1,3,3,Normal
9514,193,3,3,3,Fraud
5807,302,2,2,2,Normal
4727,83,3,1,2,Fraud
2865,29,2,1,3,Normal
5488,274,2,2,2,Fraud
9411,44,2,2,3,Normal
4305,164,2,3,3,Normal
4657,231,3,2,3,Normal
5106,201,3,2,2,Fraud
8244,304,2,1,2,Normal
3677,163,2,2,2,Normal
3925,17,2,2,3,Normal
6319,203,2,1,1,Fraud
4795,24,1,1,2,Fraud
6129,21,2,1,2,Normal
4534,41,1,2,2,Fraud
8801,206,1,3,2,Fraud
6678,108,3,2,3,Normal
9976,182,1,3,1,Fraud
2827,5,1,1,2,Fraud
3672,108,1,1,2,Normal
7835,156,1,1,2,Fraud
5313,36,1,2,2,Fraud
4898,102,1,1,1,Fraud
1263,104,1,2,3,Normal
6797,30,3,3,1,Fraud
8764,144,3,3,1,Normal
